policy_id,customer_id,premium_amount,due_date,status,promise_date
139,123,2070.56,2025-09-25,overdue,
140,52,2433.65,2025-08-30,overdue,
141,220,3982.21,2025-08-18,active,
142,223,3457.11,2025-10-13,overdue,
143,224,2041.18,2025-09-30,overdue,
144,273,4240.55,2025-09-22,promise_pending,
145,100,3599.58,2025-08-10,overdue,
146,218,3823.52,2025-11-27,overdue,
147,250,4018.37,2025-09-22,overdue,
148,71,2457.12,2025-09-14,overdue,
149,24,4011.71,2025-09-25,overdue,
150,177,3064.17,2025-10-16,overdue,
151,222,1732.69,2025-09-16,overdue,
152,290,3808.99,2025-08-28,overdue,
153,284,2719.13,2025-09-03,overdue,
154,294,2889.41,2025-10-11,overdue,
155,18,1910.3,2025-11-14,promise_pending,
156,70,3454.5,2025-11-22,overdue,
157,277,2191.08,2025-11-04,overdue,
158,148,4408.02,2025-07-27,overdue,
159,255,2799.55,2025-08-07,active,
160,120,3138.89,2025-10-12,active,
161,92,3191.16,2025-12-15,active,
162,75,2734.34,2025-10-13,active,
163,280,1526.78,2025-07-31,overdue,
164,25,3839.11,2025-09-22,overdue,
165,94,3377.83,2025-09-07,overdue,
166,269,3558.92,2025-07-09,overdue,
167,216,1688.71,2025-07-14,overdue,
168,275,1634.99,2025-11-10,active,
169,176,3069.03,2025-10-22,overdue,
170,76,4438.74,2025-08-26,promise_pending,
171,25,3912.3,2025-10-24,active,
172,279,2542.08,2025-07-08,active,
173,132,4330.39,2025-08-06,overdue,
174,182,3893.02,2025-09-21,overdue,
175,31,2652.6,2025-12-21,overdue,
176,15,4186.63,2025-10-21,overdue,
177,25,3311.69,2025-10-09,overdue,
178,210,2395.94,2025-10-10,overdue,
179,294,2462.33,2025-11-10,overdue,
180,188,1590.13,2025-07-03,overdue,
181,222,3851.03,2025-12-04,overdue,
182,99,2711.83,2025-12-23,overdue,
183,231,3137.21,2025-07-17,overdue,
184,177,2092.67,2025-12-11,promise_pending,
185,116,1597.11,2025-09-15,overdue,
186,170,2286.22,2025-11-08,overdue,
187,125,3952.37,2025-07-11,active,
188,251,1552.85,2025-09-17,active,
189,59,4117.82,2025-11-24,active,
190,218,2706.59,2025-08-25,overdue,
191,127,2509.49,2025-12-25,active,
192,105,2760.95,2025-10-10,active,
193,300,2039.87,2025-09-15,overdue,
194,151,2315.25,2025-09-17,active,
195,199,3317.39,2025-09-17,active,
196,175,2529.96,2025-12-20,overdue,
197,237,2147.98,2025-11-11,active,
198,195,2651.06,2025-08-26,overdue,
199,25,3913.67,2025-11-20,active,
200,50,3417.27,2025-10-31,active,
201,76,3149.81,2025-10-10,overdue,
202,160,1797.31,2025-10-26,overdue,
203,23,2451.58,2025-11-13,promise_pending,
204,172,3549.32,2025-11-07,overdue,
205,245,1972.52,2025-08-08,active,
206,157,2774.83,2025-07-20,overdue,
207,101,3586.72,2025-12-16,overdue,
208,32,1707.61,2025-10-05,overdue,
209,143,3114.61,2025-09-11,overdue,
210,254,2328.2,2025-11-30,active,
211,278,2502.06,2025-12-09,active,
212,98,3486.11,2025-12-05,overdue,
213,143,2331.72,2025-12-03,active,
214,235,3150.18,2025-12-04,overdue,
215,142,3328.21,2025-11-05,active,
216,44,2396.74,2025-07-21,active,
217,93,2164.46,2025-07-14,overdue,
218,63,2980.92,2025-11-24,active,
219,225,2381.59,2025-08-22,promise_pending,
220,17,3915.34,2025-08-01,overdue,
221,29,3865.28,2025-10-24,active,
222,170,2450.0,2025-07-11,active,
223,161,1518.47,2025-11-22,overdue,
224,98,2724.13,2025-10-24,promise_pending,
225,287,4117.68,2025-11-07,overdue,
226,68,4110.32,2025-08-09,overdue,
227,256,2909.0,2025-07-24,overdue,
228,37,3222.27,2025-10-17,overdue,
229,9,1505.92,2025-07-10,promise_pending,
230,197,2254.1,2025-10-18,overdue,
231,109,2341.97,2025-12-08,overdue,
232,51,3347.21,2025-11-18,overdue,
233,24,2108.4,2025-09-09,overdue,
234,101,3711.69,2025-08-15,overdue,
235,298,1530.1,2025-11-09,overdue,
236,287,3473.09,2025-12-19,active,
237,259,4023.73,2025-12-22,promise_pending,
238,135,2563.45,2025-11-19,overdue,
239,148,2888.54,2025-07-17,active,
240,286,2263.17,2025-11-04,overdue,
241,132,4204.97,2025-08-30,overdue,
242,131,2479.25,2025-11-27,active,
243,159,2031.48,2025-11-09,overdue,
244,269,4045.01,2025-07-16,overdue,
245,162,3134.37,2025-12-17,overdue,
246,149,1881.29,2025-09-22,overdue,
247,189,1924.43,2025-08-25,overdue,
248,287,3461.22,2025-12-20,active,
249,47,2432.62,2025-07-04,active,
250,162,1535.06,2025-12-22,active,
251,74,1771.15,2025-09-12,active,
252,234,1772.0,2025-07-15,promise_pending,
253,8,3105.73,2025-11-30,overdue,
254,255,3769.29,2025-10-07,active,
255,25,4198.28,2025-10-16,active,
256,84,1551.35,2025-07-11,overdue,
257,137,2338.63,2025-10-11,active,
258,97,3737.66,2025-10-30,overdue,
259,128,2626.66,2025-08-29,overdue,
260,108,4129.23,2025-07-16,overdue,
261,140,4001.71,2025-10-20,active,
262,202,2051.09,2025-12-07,overdue,
263,24,2747.88,2025-10-28,overdue,
264,87,1520.29,2025-12-30,overdue,
265,89,3973.69,2025-08-08,overdue,
266,53,2913.32,2025-10-25,overdue,
267,149,1545.98,2025-12-20,overdue,
268,296,3596.97,2025-11-15,overdue,
269,93,1616.48,2025-09-28,overdue,
270,106,1770.37,2025-12-20,overdue,
271,156,3201.1,2025-10-06,overdue,
272,58,4074.99,2025-10-12,overdue,
273,203,3401.92,2025-07-03,overdue,
274,295,1695.29,2025-11-12,overdue,
275,253,1850.09,2025-10-20,overdue,
276,228,2075.43,2025-07-10,active,
277,109,4444.81,2025-07-21,overdue,
278,272,3437.9,2025-09-17,overdue,
279,85,4102.38,2025-08-04,overdue,
280,27,3301.72,2025-11-13,overdue,
281,241,4005.65,2025-08-09,overdue,
282,214,2907.78,2025-07-26,overdue,
283,250,3149.84,2025-08-09,overdue,
284,183,1834.45,2025-10-24,overdue,
285,243,1642.89,2025-12-26,overdue,
286,266,3689.34,2025-08-19,overdue,
287,8,2450.3,2025-07-04,overdue,
288,220,3606.51,2025-11-13,overdue,
289,187,1787.39,2025-08-29,overdue,
290,33,2739.21,2025-08-25,overdue,
291,251,3062.92,2025-07-06,overdue,
292,280,3088.6,2025-07-26,overdue,
293,73,2574.6,2025-07-10,overdue,
294,227,3775.64,2025-07-05,active,
295,106,3534.23,2025-10-13,active,
296,221,2482.33,2025-10-29,active,
297,210,3917.49,2025-12-06,overdue,
298,95,3821.69,2025-09-29,overdue,
299,45,2005.11,2025-07-14,active,
300,61,2127.14,2025-07-06,overdue,
